Position,President,Party,Nominee,Announced,Received,Withdrawn,Confirmed,Rejected,Vote Type,Votes For,Votes Against,Notes
Secretary of Agriculture,George W. Bush,Republican,Edward Schafer,2007-10-31,2007-12-06,,2008-01-28,,Voice Vote,100,0,Unanimously Confirmed
Secretary of Housing and Urban Development,George W. Bush,Republican,Steven Preston,2008-04-18,2008-05-01,,2008-06-04,,Voice Vote,100,0,Unanimously Confirmed
Secretary of the Treasury,Barack Obama,Democrat,Timothy Geithner,2008-11-24,2009-01-20,,2009-01-26,,Roll Call Vote,60,34,
Attorney General,Barack Obama,Democrat,Eric Holder,2008-12-01,2009-01-20,,2009-02-02,,Roll Call Vote,75,21,
Secretary of Defense,Barack Obama,Democrat,Robert Gates,2008-12-01,,,,,,,,Was from previous administration
Secretary of Homeland Security,Barack Obama,Democrat,Janet Napolitano,2008-12-01,2009-01-20,,2009-01-20,,Voice Vote,,,
Secretary of State,Barack Obama,Democrat,Hillary Clinton,2008-12-01,2009-01-20,,2009-01-21,,Roll Call Vote,94,2,
Secretary of Veterans Affairs,Barack Obama,Democrat,Eric Shinseki,2008-12-07,2009-01-20,,2009-01-20,,Voice Vote,100,0,Unanimously confirmed
Secretary of Energy,Barack Obama,Democrat,Steven Chu,2008-12-11,2009-01-20,,2009-01-20,,Voice Vote,,,
Secretary of Housing and Urban Development,Barack Obama,Democrat,Shaun Donovan,2008-12-13,2009-01-20,,2009-01-22,,Voice Vote,,,
Secretary of Education,Barack Obama,Democrat,Arne Duncan,2008-12-15,2009-01-20,,2009-01-20,,Voice Vote,,,
Secretary of Agriculture,Barack Obama,Democrat,Tom Vilsack,2008-12-17,2009-01-20,,2009-01-20,,Voice Vote,100,0,Unanimously confirmed
Secretary of the Interior,Barack Obama,Democrat,Ken Salazar,2008-12-17,2009-01-20,,2009-01-20,,Voice Vote,100,0,Unanimously confirmed
Secretary of Labor,Barack Obama,Democrat,Hilda Solis,2008-12-19,2009-01-20,,2009-02-24,,Roll Call Vote,80,17,
Secretary of Transportation,Barack Obama,Democrat,Ray LaHood,2008-12-19,2009-01-20,,2009-01-22,,Voice Vote,,,
Secretary of Commerce,Barack Obama,Democrat,Gary Locke,2009-02-25,2009-03-16,,2009-03-24,,Voice Vote,100,0,Unanimously confirmed
Secretary of Health and Human Services,Barack Obama,Democrat,Kathleen Sebelius,2009-03-02,2009-03-17,,2009-04-28,,Roll Call Vote,65,31,
Secretary of Defense,Barack Obama,Democrat,Leon Panetta,2011-04-28,2011-05-26,,2011-06-21,,Roll Call Vote,100,0,
Secretary of Commerce,Barack Obama,Democrat,John Bryson,2011-05-31,2011-06-16,,2011-10-20,,Roll Call Vote,74,26,
Secretary of State,Barack Obama,Democrat,John Kerry,2012-12-21,2013-01-22,,2013-01-29,,Roll Call Vote,94,3,
Secretary of Defense,Barack Obama,Democrat,Chuck Hagel,2013-01-07,2013-01-22,,2013-02-26,,Roll Call Vote,58,41,
Secretary of the Treasury,Barack Obama,Democrat,Jack Lew,2013-01-10,2013-01-22,,2013-02-27,,Roll Call Vote,71,26,
Secretary of the Interior,Barack Obama,Democrat,Sally Jewell,2013-02-06,2013-02-07,,2013-04-10,,Roll Call Vote,87,11,
Secretary of Energy,Barack Obama,Democrat,Ernest Moniz,2013-03-04,2013-03-07,,2013-05-16,,Roll Call Vote,97,0,
Secretary of Labor,Barack Obama,Democrat,Thomas Perez,2013-03-18,2013-03-19,,2013-07-18,,Roll Call Vote,54,46,
Secretary of Transportation,Barack Obama,Democrat,Anthony Foxx,2013-04-29,2013-05-07,,2013-06-27,,Roll Call Vote,100,0,
Secretary of Commerce,Barack Obama,Democrat,Penny Pritzker,2013-05-01,2013-05-09,,2013-06-25,,Roll Call Vote,97,1,
Secretary of Homeland Security,Barack Obama,Democrat,Jeh Johnson,2013-10-18,2013-10-28,,2013-12-16,,Roll Call Vote,78,16,
Secretary of Health and Human Services,Barack Obama,Democrat,Sylvia Burwell,2014-04-11,2014-04-11,,2014-06-05,,Roll Call Vote,78,17,
Secretary of Housing and Urban Development,Barack Obama,Democrat,Julian Castro,2014-05-23,2014-06-02,,2014-07-09,,Roll Call Vote,71,26,
Secretary of Veterans Affairs,Barack Obama,Democrat,Robert McDonald,2014-06-30,2014-07-07,,2014-07-29,,Roll Call Vote,97,0,
Attorney General,Barack Obama,Democrat,Loretta Lynch,2014-11-09,2014-11-13,,,,Roll Call Vote,56,43,
Secretary of Defense,Barack Obama,Democrat,Ashton Carter,2014-12-05,2015-01-07,,2015-02-12,,Roll Call Vote,93,5,
Secretary of Education,Barack Obama,Democrat,John King,2016-02-11,2016-02-11,,2016-03-14,,Roll Call Vote,49,40,
Secretary of Agriculture,Donald Trump,Republican,Sonny Perdue,2017-01-19,2017-03-09,,2017-04-24,,Roll Call Vote,87,11,
Attorney General,Donald Trump,Republican,Jeff Sessions,2016-11-18,2017-01-20,,2017-02-08,,Roll Call Vote,52,47,
Attorney General,Donald Trump,Republican,William Barr,2018-12-07,2019-01-03,,2019-02-14,,Roll Call Vote,54,45,
Secretary of Commerce,Donald Trump,Republican,Wilbur Ross,2016-11-30,2017-01-20,,2017-02-27,,Roll Call Vote,72,27,
Secretary of Defense,Donald Trump,Republican,James Mattis,2016-12-06,2017-01-20,,2017-01-20,,Roll Call Vote,98,1,
Secretary of Education,Donald Trump,Republican,Betsy DeVos,2016-11-23,2017-01-20,,2017-02-07,,Roll Call Vote,51,50,
Secretary of Energy,Donald Trump,Republican,Rick Perry,2016-12-14,2017-01-20,,2017-03-02,,Roll Call Vote,62,37,
Secretary of Health and Human Services,Donald Trump,Republican,Tom Price,2016-11-29,2017-01-20,,2017-02-10,,Roll Call Vote,52,47,
Secretary of Health and Human Services,Donald Trump,Republican,Alex Azar,2017-11-13,2018-01-08,,2018-01-24,,Roll Call Vote,55,43,
Secretary of Homeland Security,Donald Trump,Republican,John Kelly,2016-12-12,2017-01-20,,2017-01-20,,Roll Call Vote,88,11,
Secretary of Homeland Security,Donald Trump,Republican,Kirstjen Nielsen,2017-10-11,2017-10-16,,2017-12-05,,Roll Call Vote,62,37,
Secretary of Housing and Urban Development,Donald Trump,Republican,Ben Carson,2016-12-05,2017-01-20,,2017-03-02,,Roll Call Vote,58,41,
Secretary of the Interior,Donald Trump,Republican,Ryan Zinke,2016-12-15,2017-01-20,,2017-03-01,,Roll Call Vote,68,31,
Secretary of the Interior,Donald Trump,Republican,David Bernhardt,2019-02-04,2019-03-11,,2019-04-11,,Roll Call Vote,56,41,
Secretary of Labor,Donald Trump,Republican,R. Alexander Acosta,2017-02-16,2017-03-07,,2017-04-27,,Roll Call Vote,60,38,
Secretary of State,Donald Trump,Republican,Rex Tillerson,2016-12-13,2017-01-20,,2017-02-01,,Roll Call Vote,56,43,
Secretary of State,Donald Trump,Republican,Mike Pompeo,2018-03-13,2018-03-20,,2018-04-26,,Roll Call Vote,57,42,
Secretary of Transportation,Donald Trump,Republican,Elaine Chao,2016-11-29,2017-01-20,,2017-01-31,,Roll Call Vote,93,6,
Secretary of the Treasury,Donald Trump,Republican,Steve Mnuchin,2016-11-30,2017-01-20,,2017-02-13,,Roll Call Vote,53,47,
Secretary of Veterans Affairs,Donald Trump,Republican,David Shulkin,2017-01-11,2017-01-20,,2017-02-13,,Roll Call Vote,100,0,
Secretary of Veterans Affairs,Donald Trump,Republican,Robert Wilkie,2018-05-18,2018-06-20,,2018-07-23,,Roll Call Vote,86,9,
